"filename", "language", "TypeScript", "JSON", "HTML", "CSS", "XML", "JavaScript", "SCSS", "comment", "blank", "total"
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\_nav.ts", "TypeScript", 155, 0, 0, 0, 0, 0, 0, 73, 6, 234
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\analysis-routing.module.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 0, 4, 93
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\analysis.module.ts", "TypeScript", 120, 0, 0, 0, 0, 0, 0, 0, 2, 122
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\compare\comp-chart\comp-chart.component.html", "HTML", 0, 0, 21, 0, 0, 0, 0, 0, 0, 21
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\compare\comp-chart\comp-chart.component.ts", "TypeScript", 157, 0, 0, 0, 0, 0, 0, 30, 33, 220
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\compare\compare.component.html", "HTML", 0, 0, 63, 0, 0, 0, 0, 3, 8, 74
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\compare\compare.component.ts", "TypeScript", 173, 0, 0, 0, 0, 0, 0, 21, 42, 236
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dashboard\dashboard.component.css", "CSS", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dashboard\dashboard.component.html", "HTML", 0, 0, 130, 0, 0, 0, 0, 5, 14, 149
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dashboard\dashboard.component.ts", "TypeScript", 386, 0, 0, 0, 0, 0, 0, 56, 70, 512
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\dbd.component.css", "CSS", 0, 0, 0, 14, 0, 0, 0, 5, 6, 25
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\dbd.component.html", "HTML", 0, 0, 132, 0, 0, 0, 0, 6, 11, 149
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\dbd.component.ts", "TypeScript", 359, 0, 0, 0, 0, 0, 0, 124, 101, 584
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\elasticity\elasticity.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\elasticity\elasticity.component.html", "HTML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\elasticity\elasticity.component.ts", "TypeScript", 154, 0, 0, 0, 0, 0, 0, 23, 31, 208
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\elasticity_week\elasticity-week.component.css", "CSS", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\elasticity_week\elasticity-week.component.html", "HTML", 0, 0, 15, 0, 0, 0, 0, 1, 1, 17
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\elasticity_week\elasticity-week.component.ts", "TypeScript", 223, 0, 0, 0, 0, 0, 0, 89, 55, 367
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\elasticity_week\iaModal.component.html", "HTML", 0, 0, 26, 0, 0, 0, 0, 5, 0, 31
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\elasticity_week\iaModal.component.ts", "TypeScript", 175, 0, 0, 0, 0, 0, 0, 34, 18, 227
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\flowArea\flowarea.component.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 9, 2, 19
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\flowArea\flowarea.component.html", "HTML", 0, 0, 33, 0, 0, 0, 0, 0, 1, 34
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\flowArea\flowarea.component.ts", "TypeScript", 151, 0, 0, 0, 0, 0, 0, 15, 32, 198
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\profitArea\profitarea.component.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 9, 2, 19
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\profitArea\profitarea.component.html", "HTML", 0, 0, 24, 0, 0, 0, 0, 0, 1, 25
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\profitArea\profitarea.component.ts", "TypeScript", 144, 0, 0, 0, 0, 0, 0, 18, 37, 199
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\revenueArea\revenuearea.component.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 9, 2, 19
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\revenueArea\revenuearea.component.html", "HTML", 0, 0, 24, 0, 0, 0, 0, 0, 1, 25
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\revenueArea\revenuearea.component.ts", "TypeScript", 128, 0, 0, 0, 0, 0, 0, 15, 31, 174
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\topping\topping.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\topping\topping.component.html", "HTML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\dbd\topping\topping.component.ts", "TypeScript", 135, 0, 0, 0, 0, 0, 0, 18, 23, 176
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\elast_index\elasticity_index.component.css", "CSS", 0, 0, 0, 14, 0, 0, 0, 5, 6, 25
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\elast_index\elasticity_index.component.html", "HTML", 0, 0, 105, 0, 0, 0, 0, 3, 12, 120
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\elast_index\elasticity_index.component.ts", "TypeScript", 353, 0, 0, 0, 0, 0, 0, 126, 101, 580
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\engineering\eng-totals\eng-totals.component.css", "CSS", 0, 0, 0, 80, 0, 0, 0, 0, 14, 94
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\engineering\eng-totals\eng-totals.component.html", "HTML", 0, 0, 65, 0, 0, 0, 0, 41, 0, 106
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\engineering\eng-totals\eng-totals.component.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 5, 14, 78
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\engineering\engineering.component.css", "CSS", 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\engineering\engineering.component.html", "HTML", 0, 0, 112, 0, 0, 0, 0, 3, 9, 124
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\engineering\engineering.component.ts", "TypeScript", 284, 0, 0, 0, 0, 0, 0, 69, 79, 432
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\engineering\matrixchart\matrixchart.component.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 9, 2, 19
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\engineering\matrixchart\matrixchart.component.html", "HTML", 0, 0, 129, 0, 0, 0, 0, 0, 3, 132
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\engineering\matrixchart\matrixchart.component.ts", "TypeScript", 379, 0, 0, 0, 0, 0, 0, 47, 72, 498
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\engineering\newprice\newprice.component.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 9, 2, 19
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\engineering\newprice\newprice.component.html", "HTML", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\engineering\newprice\newprice.component.ts", "TypeScript", 147, 0, 0, 0, 0, 0, 0, 39, 37, 223
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\forecast\forecast.component.css", "CSS", 0, 0, 0, 14, 0, 0, 0, 5, 6, 25
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\forecast\forecast.component.html", "HTML", 0, 0, 103, 0, 0, 0, 0, 7, 11, 121
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\forecast\forecast.component.ts", "TypeScript", 353, 0, 0, 0, 0, 0, 0, 121, 100, 574
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\import\import.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\import\import.component.html", "HTML", 0, 0, 251, 0, 0, 0, 0, 8, 13, 272
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\import\import.component.ts", "TypeScript", 426, 0, 0, 0, 0, 0, 0, 121, 124, 671
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\item_perf\feature_selection\feature_selection.component.css", "CSS", 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\item_perf\feature_selection\feature_selection.component.html", "HTML", 0, 0, 120, 0, 0, 0, 0, 2, 11, 133
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\item_perf\feature_selection\feature_selection.component.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 7, 12, 82
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\item_perf\item_performance.component.css", "CSS", 0, 0, 0, 21, 0, 0, 0, 0, 6, 27
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\item_perf\item_performance.component.html", "HTML", 0, 0, 93, 0, 0, 0, 0, 0, 15, 108
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\item_perf\item_performance.component.ts", "TypeScript", 181, 0, 0, 0, 0, 0, 0, 63, 59, 303
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\matrixresult\matrixresult.component.html", "HTML", 0, 0, 39, 0, 0, 0, 0, 0, 1, 40
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\matrixresult\matrixresult.component.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 5, 17, 44
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\menu-editor\menu-editor.component.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\menu-editor\menu-editor.component.html", "HTML", 0, 0, 241, 0, 0, 0, 0, 14, 18, 273
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\menu-editor\menu-editor.component.ts", "TypeScript", 511, 0, 0, 0, 0, 0, 0, 144, 103, 758
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\menu-editor\menu\menu-table.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\menu-editor\menu\menu-table.component.html", "HTML", 0, 0, 52, 0, 0, 0, 0, 1, 2, 55
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\menu-editor\menu\menu-table.component.ts", "TypeScript", 232, 0, 0, 0, 0, 0, 0, 44, 31, 307
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\menu-editor\newmenu\newmenu.component.html", "HTML", 0, 0, 14, 0, 0, 0, 0, 20, 0, 34
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\analysis\menu-editor\newmenu\newmenu.component.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 5, 8, 47
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\app.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\app.component.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 10, 12, 66
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\app.module.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 0, 4, 11, 91
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\app.routing.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 1, 7, 71
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\containers\default-layout\default-layout.component.css", "CSS", 0, 0, 0, 9, 0, 0, 0, 16, 1, 26
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\containers\default-layout\default-layout.component.html", "HTML", 0, 0, 83, 0, 0, 0, 0, 4, 9, 96
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\containers\default-layout\default-layout.component.ts", "TypeScript", 143, 0, 0, 0, 0, 0, 0, 45, 54, 242
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\containers\default-layout\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\containers\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\login\login.component.css", "CSS", 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\login\login.component.html", "HTML", 0, 0, 55, 0, 0, 0, 0, 0, 4, 59
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\login\login.component.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 0, 4, 22, 98
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\base-list.component.html", "HTML", 0, 0, 61, 0, 0, 0, 0, 29, 6, 96
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\base-list.component.ts", "TypeScript", 163, 0, 0, 0, 0, 0, 0, 47, 55, 265
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\base-routing.module.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 8, 3, 113
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\base-table.module.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 0, 2, 67
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\cat-table.component.ts", "TypeScript", 151, 0, 0, 0, 0, 0, 0, 18, 25, 194
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\lib\table-lib.ts", "TypeScript", 201, 0, 0, 0, 0, 0, 0, 18, 35, 254
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\logout.component.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 2, 9, 22
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\order\order-table.component.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\order\order-table.component.html", "HTML", 0, 0, 87, 0, 0, 0, 0, 12, 3, 102
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\order\order-table.component.ts", "TypeScript", 162, 0, 0, 0, 0, 0, 0, 20, 29, 211
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\printable.component.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 18, 26, 96
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\prod-table.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\prod-table.component.ts", "TypeScript", 264, 0, 0, 0, 0, 0, 0, 86, 55, 405
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\profile\profile.component.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\profile\profile.component.html", "HTML", 0, 0, 109, 0, 0, 0, 0, 2, 3, 114
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\profile\profile.component.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 1, 9, 45
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\register\register.component.html", "HTML", 0, 0, 53, 0, 0, 0, 0, 0, 1, 54
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\register\register.component.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\report\report.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\report\report.component.html", "HTML", 0, 0, 60, 0, 0, 0, 0, 0, 6, 66
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\report\report.component.ts", "TypeScript", 69, 0, 0, 0, 0, 0, 0, 6, 22, 97
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\revpash\revpash-table.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\revpash\revpash-table.component.html", "HTML", 0, 0, 39, 0, 0, 0, 0, 1, 3, 43
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\revpash\revpash-table.component.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 6, 15, 71
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\stats\stat.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\stats\stat.component.html", "HTML", 0, 0, 117, 0, 0, 0, 0, 5, 6, 128
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\stats\stat.component.ts", "TypeScript", 164, 0, 0, 0, 0, 0, 0, 27, 34, 225
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\structures\structures.component.css", "CSS", 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\structures\structures.component.html", "HTML", 0, 0, 210, 0, 0, 0, 0, 2, 10, 222
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\structures\structures.component.ts", "TypeScript", 112, 0, 0, 0, 0, 0, 0, 53, 32, 197
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\service\aws.service.ts", "TypeScript", 780, 0, 0, 0, 0, 0, 0, 191, 211, 1182
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\service\cache.service.ts", "TypeScript", 134, 0, 0, 0, 0, 0, 0, 66, 34, 234
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\service\can-deactivate-guard.service.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\service\cognito-service.ts", "TypeScript", 161, 0, 0, 0, 0, 0, 0, 29, 43, 233
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\service\encrypt.service.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 2, 6, 40
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\service\global.service.ts", "TypeScript", 87, 0, 0, 0, 0, 0, 0, 16, 26, 129
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\service\message.service.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 10, 7, 39
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\service\neural.service.ts", "TypeScript", 211, 0, 0, 0, 0, 0, 0, 65, 70, 346
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\service\socket.service.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 20, 17, 99
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\base-routing.module.ts", "TypeScript", 117, 0, 0, 0, 0, 0, 0, 0, 4, 121
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\base.module.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 12, 15, 81
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\cards.component.html", "HTML", 0, 0, 324, 0, 0, 0, 0, 0, 2, 326
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\cards.component.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\carousels.component.html", "HTML", 0, 0, 135, 0, 0, 0, 0, 0, 3, 138
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\carousels.component.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 8, 44
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\collapses.component.html", "HTML", 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\collapses.component.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 2, 7, 21
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\forms.component.html", "HTML", 0, 0, 1069, 0, 0, 0, 0, 1, 2, 1072
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\forms.component.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 2, 8, 27
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\navbars\navbars.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\navbars\navbars.component.html", "HTML", 0, 0, 47, 0, 0, 0, 0, 0, 2, 49
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\navbars\navbars.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\navbars\navbars.component.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 1, 8, 39
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\paginations.component.html", "HTML", 0, 0, 81, 0, 0, 0, 0, 0, 3, 84
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\paginations.component.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 8, 32
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\popovers.component.html", "HTML", 0, 0, 156, 0, 0, 0, 0, 0, 6, 162
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\popovers.component.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\progress.component.html", "HTML", 0, 0, 57, 0, 0, 0, 0, 0, 3, 60
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\views\base\progress.component.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 1, 14, 76
